0:6:18 | [CMD] [cCc]HulkHulk[cCc](17) => /l ts su8nucunz neydii
0:6:19 | [LOCAL][cCc]HulkHulk[cCc](17): ts su8nucunz neydii
0:6:19 | [CMD] [cCc]HulkHulk[cCc](17) => /l ts su8nucunz neydii
0:6:19 | [CMD] (TR)Emirhan.(6) => /tamir
0:6:19 | [LOCAL][cCc]HulkHulk[cCc](17): ts su8nucunz neydii
0:6:19 | [CMD] [cCc]HulkHulk[cCc](17) => /l ts su8nucunz neydii
0:6:20 | [CMD] GSpor1991(7) => /kemer
0:6:21 | [CMD] GSpor1991(7) => /work
0:6:22 | [CMD] huso608(8) => /djler
0:6:22 | [CMD] GravLaunch(25) => /sirket
0:6:26 | [CMD] SoOoPoL(15) => /sac
0:6:30 | [LOCAL]huso608(8): ts3.trucksamp
0:6:30 | [CMD] huso608(8) => /l ts3.trucksamp
0:6:34 | nefariouss(9) oyuna girdi [IP: 176.33.255.33]
0:6:35 | [CMD] huso608(8) => /djler
0:6:40 | [CMD] huso608(8) => /a dj var karýsma
0:6:45 | [CMD] Dark_Alone_(24) => /kemer
0:6:46 | [CMD] Dark_Alone_(24) => /kemer
0:6:47 | [CMD] eren1616(16) => /atamir
0:6:47 | [CMD] GSpor1991(7) => /modifiye
0:6:49 | GravLaunch(25): Huso reis
0:6:49 | 
0:6:49 | [CMD] eren1616(16) => /djler
0:6:49 | [CMD] huso608(8) => /cantazele
0:6:53 | {FFCC00}nefariouss(9) {FFFFFF}Kamyoncu olarak spawn oldu.
0:6:53 | huso608(8): buyrun
0:6:59 | GravLaunch(25): matite baþkan müsait mi
0:7:0 | [CMD] eren1616(16) => /a ana dj varmýþ görmedim
0:7:1 | GSLIMERT(19) oyuna girdi [IP: 178.246.209.179]
0:7:7 | [CMD] GSpor1991(7) => /modifiye
0:7:8 | huso608(8): musait olunca seslenicem
0:7:12 | [CMD] nefariouss(9) => /pm 17 batu nerdesiniz skype hat düþtü yazýyo
0:7:12 | [CMD] eren1616(16) => /d Tunlord k.b görmedim seni
0:7:15 | [CMD] CagatayBro(13) => /c düzeldi tamam
0:7:16 | [CMD] (TR)Emirhan.(6) => /tamir
0:7:17 | [CMD] eren1616(16) => /djler
0:7:21 | 
0:7:21 | [CMD] TunlordBeyWT(10) => /d sýkýntý yok
0:7:23 | GravLaunch(25):  /seslen 25 Matite baþkan müsait
0:7:23 | [CMD] bay.potiy(14) => /basarimlar
0:7:23 | {FFCC00}GSLIMERT(19) {FFFFFF}Kamyoncu olarak spawn oldu.
0:7:25 | GravLaunch(25): :D
0:7:26 | [CMD] GSLIMERT(19) => /sa
0:7:30 | [CMD] GravLaunch(25) => /as
0:7:31 | [CMD] ASLANBEY(12) => /as
0:7:32 | [CMD] eren1616(16) => /seslen
0:7:33 | [CMD] GravLaunch(25) => /meslek
0:7:34 | [CMD] Konyali42(11) => /as
0:7:35 | [CMD] SoOoPoL(15) => /work
0:7:37 | [CMD] huso608(8) => /as
0:7:37 | GravLaunch(25): polis ceza kes hadi
0:7:38 | [CMD] Jodor(18) => /as
0:7:39 | [CMD] GravLaunch(25) => /araba
0:7:43 | [CMD] huso608(8) => /spec 15
0:7:44 | [SirketCHT] Jodor(18): ! hg merto
0:7:47 | [CMD] GravLaunch(25) => /kemer
0:7:50 | [CMD] eren1616(16) => /isteksarki 505
0:7:50 | [SirketCHT] GSLIMERT(19): ! hb
0:7:52 | Dark_Alone_(24): gel sf
0:7:55 | GravLaunch(25): gelemem
0:7:57 | GravLaunch(25): uzaðým
0:7:57 | [CMD] huso608(8) => /specoff
0:7:57 | huso608(8) Itfaiyeci olarak spawn oldu.
0:7:58 | [CMD] GSLIMERT(19) => /sirket
0:8:4 | [SirketCHT] Jodor(18): ! aslan sen kimin convoyundasýn :)
0:8:5 | GravLaunch(25): senin gelmen lazým
0:8:8 | [CMD] TunlordBeyWT(10) => /asay istek þarkýnýz sýraya alýnmýþtýr...
0:8:12 | [SirketCHT] ASLANBEY(12): !tunlord
0:8:15 | [SirketCHT] Jodor(18): ! tamam
